@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2023/06/09 11:27:33:576',1,1023,1023,0,0,0
2,'2023/06/09 11:27:33:612',1,1023,1023,0,0,0
3,'2023/06/09 11:27:33:621',1,1023,1023,0,0,0
4,'2023/06/09 11:27:33:622',1,1023,1023,0,0,0
5,'2023/06/09 11:27:33:679',1,1023,1023,0,0,0
6,'2023/06/09 11:27:33:680',1,1023,1023,0,0,0
7,'2023/06/09 11:27:33:736',1,1023,1023,0,0,0
8,'2023/06/09 11:27:33:737',1,1023,1023,0,0,0
9,'2023/06/09 11:27:33:794',1,1023,1023,0,0,0
10,'2023/06/09 11:27:33:794',1,1023,1023,0,0,0
11,'2023/06/09 11:27:33:851',1,1023,1023,0,0,0
12,'2023/06/09 11:27:33:851',1,1023,1023,0,0,0
13,'2023/06/09 11:27:33:908',1,1023,1023,0,0,0
14,'2023/06/09 11:27:33:909',1,1023,1023,0,0,0
15,'2023/06/09 11:27:33:953',1,1023,1023,0,0,0
16,'2023/06/09 11:27:33:954',1,1023,1023,0,0,0
17,'2023/06/09 11:27:34:011',1,1023,1023,0,0,0
18,'2023/06/09 11:27:34:012',1,1023,1023,0,0,0
19,'2023/06/09 11:27:34:068',1,1023,1023,0,0,0
20,'2023/06/09 11:27:34:069',1,1023,1023,0,0,0
21,'2023/06/09 11:27:34:125',1,1023,1023,0,0,0
22,'2023/06/09 11:27:34:126',1,1023,1023,0,0,0
23,'2023/06/09 11:27:34:183',1,1023,1023,0,0,0
24,'2023/06/09 11:27:34:184',1,1023,1023,0,0,0
25,'2023/06/09 11:27:34:240',1,1023,1023,0,0,0
26,'2023/06/09 11:27:34:241',1,1023,1023,0,0,0
27,'2023/06/09 11:27:34:285',1,1023,1023,0,0,0
28,'2023/06/09 11:27:34:286',1,1023,1023,0,0,0
29,'2023/06/09 11:27:34:298',1,1023,1023,0,0,0
30,'2023/06/09 11:27:34:343',1,1023,1023,0,0,0
31,'2023/06/09 11:27:34:343',1,1023,1023,0,0,0
32,'2023/06/09 11:27:34:400',1,1023,1023,0,0,0
33,'2023/06/09 11:27:34:401',1,1023,1023,0,0,0
34,'2023/06/09 11:27:34:457',1,1023,1023,0,0,0
35,'2023/06/09 11:27:34:458',1,1023,1023,0,0,0
36,'2023/06/09 11:27:34:515',1,1023,1023,0,0,0
37,'2023/06/09 11:27:34:515',1,1023,1023,0,0,0
38,'2023/06/09 11:27:34:572',1,1023,1023,0,0,0
39,'2023/06/09 11:27:34:572',1,1023,1023,0,0,0
40,'2023/06/09 11:27:34:617',1,1023,1023,0,0,0
41,'2023/06/09 11:27:34:618',1,1023,1023,0,0,0
42,'2023/06/09 11:27:34:629',1,1023,1023,0,0,0
43,'2023/06/09 11:27:34:674',1,1023,1023,0,0,0
44,'2023/06/09 11:27:34:675',1,1023,1023,0,0,0
45,'2023/06/09 11:27:34:686',1,1023,1023,0,0,0
46,'2023/06/09 11:27:34:731',1,1023,1023,0,0,0
47,'2023/06/09 11:27:34:732',1,1023,1023,0,0,0
48,'2023/06/09 11:27:34:789',1,1023,1023,0,0,0
49,'2023/06/09 11:27:34:789',1,1023,1023,0,0,0
50,'2023/06/09 11:27:34:846',1,1023,1023,0,0,0
51,'2023/06/09 11:27:34:846',1,1023,1023,0,0,0
52,'2023/06/09 11:27:34:904',1,1023,1023,0,0,0
53,'2023/06/09 11:27:34:904',1,1023,1023,0,0,0
54,'2023/06/09 11:27:34:949',1,1023,1023,0,0,0
55,'2023/06/09 11:27:34:949',1,1023,1023,0,0,0
56,'2023/06/09 11:27:35:006',1,1023,1023,0,0,0
57,'2023/06/09 11:27:35:006',1,1023,1023,0,0,0
58,'2023/06/09 11:27:35:019',1,1023,1023,0,0,0
59,'2023/06/09 11:27:35:063',1,1023,1023,0,0,0
60,'2023/06/09 11:27:35:064',1,1023,1023,0,0,0
61,'2023/06/09 11:27:35:121',1,1023,1023,0,0,0
62,'2023/06/09 11:27:35:121',1,1023,1023,0,0,0
63,'2023/06/09 11:27:35:178',1,1023,1023,0,0,0
64,'2023/06/09 11:27:35:178',1,1023,1023,0,0,0
65,'2023/06/09 11:27:35:235',1,1023,1023,0,0,0
66,'2023/06/09 11:27:35:236',1,1023,1023,0,0,0
67,'2023/06/09 11:27:35:280',1,1023,1023,0,0,0
68,'2023/06/09 11:27:35:281',1,1023,1023,0,0,0
69,'2023/06/09 11:27:35:338',1,1023,1023,0,0,0
70,'2023/06/09 11:27:35:338',1,1023,1023,0,0,0
71,'2023/06/09 11:27:35:395',1,1023,1023,0,0,0
72,'2023/06/09 11:27:35:395',1,1023,1023,0,0,0
73,'2023/06/09 11:27:35:453',1,1023,1023,0,0,0
74,'2023/06/09 11:27:35:453',1,1023,1023,0,0,0
75,'2023/06/09 11:27:35:510',1,1023,1023,0,0,0
76,'2023/06/09 11:27:35:510',1,1023,1023,0,0,0
77,'2023/06/09 11:27:35:567',1,1023,1023,0,0,0
78,'2023/06/09 11:27:35:568',1,1023,1023,0,0,0
79,'2023/06/09 11:27:35:625',1,1023,1023,0,0,0
80,'2023/06/09 11:27:35:625',1,1023,1023,0,0,0
81,'2023/06/09 11:27:35:670',1,1023,1023,0,0,0
82,'2023/06/09 11:27:35:670',1,1023,1023,0,0,0
83,'2023/06/09 11:27:35:685',1,1023,1023,0,0,0
84,'2023/06/09 11:27:35:727',1,1023,1023,0,0,0
85,'2023/06/09 11:27:35:728',1,1023,1023,0,0,0
86,'2023/06/09 11:27:35:784',1,1023,1023,0,0,0
87,'2023/06/09 11:27:35:785',1,1023,1023,0,0,0
88,'2023/06/09 11:27:35:842',1,1023,1023,0,0,0
89,'2023/06/09 11:27:35:842',1,1023,1023,0,0,0
90,'2023/06/09 11:27:35:899',1,1023,1023,0,0,0
91,'2023/06/09 11:27:35:899',1,1023,1023,0,0,0
92,'2023/06/09 11:27:35:956',1,1023,1023,0,0,0
93,'2023/06/09 11:27:35:957',1,1023,1023,0,0,0
94,'2023/06/09 11:27:36:001',1,1023,1023,0,0,0
95,'2023/06/09 11:27:36:002',1,1023,1023,0,0,0
96,'2023/06/09 11:27:36:016',1,1023,1023,0,0,0
97,'2023/06/09 11:27:36:058',1,1023,1023,0,0,0
98,'2023/06/09 11:27:36:059',1,1023,1023,0,0,0
99,'2023/06/09 11:27:36:116',1,1023,1023,0,0,0
100,'2023/06/09 11:27:36:116',1,1023,1023,0,0,0
101,'2023/06/09 11:27:36:173',1,1023,1023,0,0,0
102,'2023/06/09 11:27:36:174',1,1023,1023,0,0,0
103,'2023/06/09 11:27:36:230',1,1023,1023,0,0,0
104,'2023/06/09 11:27:36:231',1,1023,1023,0,0,0
105,'2023/06/09 11:27:36:287',1,1023,1023,0,0,0
106,'2023/06/09 11:27:36:288',1,1023,1023,0,0,0
107,'2023/06/09 11:28:40:001',2,0,1023,1,1,0
108,'2023/06/09 11:28:40:002',2,0,1023,1,1,0
109,'2023/06/09 11:28:40:025',2,0,1023,1,1,0
110,'2023/06/09 11:28:40:026',2,0,1023,1,1,0
111,'2023/06/09 11:28:40:042',2,0,1023,1,1,0
112,'2023/06/09 11:28:40:050',2,0,1023,1,1,0
113,'2023/06/09 11:28:40:060',2,0,1023,1,1,0
114,'2023/06/09 11:28:40:267',2,0,1023,1,1,0
115,'2023/06/09 11:28:40:268',2,0,1023,1,1,0
116,'2023/06/09 11:28:40:284',2,0,1023,1,1,0
117,'2023/06/09 11:28:40:291',2,0,1023,1,1,0
118,'2023/06/09 11:28:40:301',2,0,1023,1,1,0
119,'2023/06/09 11:28:40:309',2,0,1023,1,1,0
120,'2023/06/09 11:28:40:319',2,0,1023,1,1,0
121,'2023/06/09 11:28:40:525',2,0,1023,1,1,0
122,'2023/06/09 11:28:40:526',2,0,1023,1,1,0
123,'2023/06/09 11:28:40:541',2,0,1023,1,1,0
124,'2023/06/09 11:28:40:549',2,0,1023,1,1,0
125,'2023/06/09 11:28:40:557',2,0,1023,1,1,0
126,'2023/06/09 11:28:40:569',2,0,1023,1,1,0
127,'2023/06/09 11:28:40:576',2,0,1023,1,1,0
128,'2023/06/09 11:28:40:586',2,0,1023,1,1,0
129,'2023/06/09 11:28:40:791',2,0,1023,1,1,0
130,'2023/06/09 11:28:40:792',2,0,1023,1,1,0
131,'2023/06/09 11:28:40:816',2,0,1023,1,1,0
132,'2023/06/09 11:28:40:817',2,0,1023,1,1,0
133,'2023/06/09 11:28:40:828',2,0,1023,1,1,0
134,'2023/06/09 11:28:40:840',2,0,1023,1,1,0
135,'2023/06/09 11:28:40:849',2,0,1023,1,1,0
136,'2023/06/09 11:28:41:058',2,0,1023,1,1,0
137,'2023/06/09 11:28:41:058',2,0,1023,1,1,0
138,'2023/06/09 11:28:41:083',2,0,1023,1,1,0
139,'2023/06/09 11:28:41:084',2,0,1023,1,1,0
140,'2023/06/09 11:28:41:098',2,0,1023,1,1,0
141,'2023/06/09 11:28:41:107',2,0,1023,1,1,0
142,'2023/06/09 11:28:41:115',2,0,1023,1,1,0
